               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.026239,           0.0096097,            0.024043,             0.66923,             0.91743,             0.82951,             0.66661,            0.012836,            0.003791,            0.015388,            0.006139,            0.006139,            0.006139
                 119,            0.026082,           0.0096354,            0.029493,              0.6909,              0.8839,              0.8342,             0.64713,            0.013199,           0.0037611,             0.01488,            0.006106,            0.006106,            0.006106
                 120,            0.030086,           0.0093985,            0.032836,             0.66824,             0.89947,             0.84612,             0.65149,            0.014459,           0.0038703,             0.01464,            0.006073,            0.006073,            0.006073
                 121,            0.029127,            0.009325,            0.029987,             0.64723,             0.88747,              0.8517,             0.66778,            0.014008,           0.0039088,            0.014755,             0.00604,             0.00604,             0.00604
                 122,            0.030205,           0.0091591,            0.033078,             0.65716,             0.92606,             0.85057,              0.6594,            0.012308,            0.003932,            0.015064,            0.006007,            0.006007,            0.006007
                 123,            0.027498,           0.0090008,            0.028315,             0.66544,              0.9159,             0.85302,             0.65552,            0.015134,           0.0038197,            0.014833,            0.005974,            0.005974,            0.005974
                 124,            0.032383,           0.0087356,            0.027881,             0.71952,             0.92013,             0.87448,             0.70574,            0.012668,           0.0039897,            0.014557,            0.005941,            0.005941,            0.005941
                 125,            0.028117,           0.0090396,            0.030619,             0.69625,             0.90533,             0.85917,             0.68489,            0.014421,           0.0039831,            0.014468,            0.005908,            0.005908,            0.005908
                 126,            0.028141,           0.0089389,            0.027583,             0.70037,             0.90876,             0.87558,              0.7104,            0.011588,           0.0039852,            0.014403,            0.005875,            0.005875,            0.005875
                 127,            0.029177,           0.0086138,            0.027354,             0.72304,              0.9383,             0.87837,             0.68064,            0.015596,           0.0037595,            0.013835,            0.005842,            0.005842,            0.005842
                 128,            0.027206,           0.0095637,            0.022293,              0.7243,             0.95057,             0.89359,              0.6619,            0.014178,           0.0036631,            0.013391,            0.005809,            0.005809,            0.005809
                 129,            0.029395,           0.0095858,            0.029029,              0.7398,             0.93456,             0.89724,             0.70633,            0.013255,           0.0036874,            0.013251,            0.005776,            0.005776,            0.005776
                 130,            0.029512,           0.0099698,             0.02831,             0.77002,             0.94199,             0.91335,             0.72994,            0.011294,           0.0036568,            0.013096,            0.005743,            0.005743,            0.005743
                 131,            0.026668,            0.010024,            0.029211,             0.74357,              0.9354,             0.91928,              0.7317,            0.013408,           0.0036058,             0.01297,             0.00571,             0.00571,             0.00571
                 132,            0.026915,           0.0087568,            0.032118,             0.75524,             0.94752,             0.91233,             0.71334,            0.012507,           0.0036631,            0.012872,            0.005677,            0.005677,            0.005677
                 133,            0.027857,           0.0095377,            0.025998,             0.76464,             0.93479,             0.90702,             0.73927,            0.013543,            0.003576,            0.012538,            0.005644,            0.005644,            0.005644
                 134,             0.02294,           0.0085311,              0.0227,             0.77516,             0.94887,             0.90423,             0.74681,            0.014241,            0.003591,            0.012101,            0.005611,            0.005611,            0.005611
                 135,            0.025296,             0.00873,            0.024824,             0.75749,             0.94167,              0.9095,             0.76458,            0.012594,            0.003601,            0.011894,            0.005578,            0.005578,            0.005578
                 136,              0.0263,           0.0089723,             0.02402,             0.76734,             0.94518,             0.91817,             0.73664,            0.014905,           0.0035923,             0.01157,            0.005545,            0.005545,            0.005545
                 137,            0.022553,           0.0082193,              0.0244,             0.73671,             0.95202,             0.91378,             0.75341,            0.012401,            0.003429,            0.011451,            0.005512,            0.005512,            0.005512
                 138,            0.027647,           0.0087099,            0.025679,             0.77051,             0.96041,             0.91859,             0.72822,            0.012836,             0.00369,             0.01113,            0.005479,            0.005479,            0.005479
                 139,            0.027175,           0.0095009,             0.02747,             0.76733,             0.93089,             0.92761,             0.76828,            0.012226,           0.0035414,            0.011058,            0.005446,            0.005446,            0.005446
                 140,            0.020724,           0.0082984,            0.017347,             0.78774,              0.9499,             0.92942,             0.76883,            0.012142,           0.0035965,            0.010968,            0.005413,            0.005413,            0.005413
                 141,            0.025094,            0.010132,            0.027189,             0.78913,             0.94853,              0.9268,             0.77291,            0.010753,           0.0035905,            0.010706,             0.00538,             0.00538,             0.00538
                 142,            0.026263,           0.0086471,            0.020126,             0.77135,             0.92365,             0.92164,             0.76596,            0.013351,           0.0036143,            0.010418,            0.005347,            0.005347,            0.005347
                 143,             0.02274,           0.0093706,            0.020465,             0.80075,             0.93082,             0.92624,             0.75543,            0.013446,           0.0035632,            0.010222,            0.005314,            0.005314,            0.005314
                 144,            0.029707,           0.0081377,            0.023852,             0.84264,             0.90825,             0.92583,             0.76425,            0.012847,           0.0036217,            0.010114,            0.005281,            0.005281,            0.005281
                 145,            0.028703,           0.0094878,            0.024669,             0.87004,             0.88902,              0.9434,             0.75717,            0.013229,           0.0036736,            0.010061,            0.005248,            0.005248,            0.005248
                 146,            0.027203,           0.0087493,            0.025244,             0.79089,             0.94531,             0.94411,             0.77137,            0.012401,           0.0035801,            0.010252,            0.005215,            0.005215,            0.005215
                 147,            0.023246,           0.0079986,            0.019102,             0.79747,                0.95,             0.95186,             0.79748,            0.013584,           0.0035796,            0.010023,            0.005182,            0.005182,            0.005182
                 148,            0.026286,           0.0094946,            0.021415,             0.81175,             0.95254,             0.95174,             0.76482,            0.012343,           0.0036431,            0.009678,            0.005149,            0.005149,            0.005149
                 149,            0.022712,           0.0086953,            0.022807,             0.82385,              0.9442,             0.94646,             0.75867,            0.012015,           0.0036077,           0.0092952,            0.005116,            0.005116,            0.005116
                 150,            0.033339,           0.0087811,             0.02137,             0.85069,             0.95371,             0.94695,             0.75408,            0.012521,           0.0035447,           0.0092546,            0.005083,            0.005083,            0.005083
                 151,            0.025466,           0.0089764,            0.020345,             0.83085,             0.96204,             0.93607,             0.76749,            0.012055,           0.0034404,           0.0091628,             0.00505,             0.00505,             0.00505
                 152,            0.026627,           0.0094579,            0.023088,             0.83982,             0.96338,             0.92586,             0.72745,            0.012267,            0.003577,           0.0089736,            0.005017,            0.005017,            0.005017
                 153,            0.027426,           0.0082384,            0.023774,             0.85354,             0.96631,             0.93098,             0.74619,            0.012685,           0.0036716,           0.0088445,            0.004984,            0.004984,            0.004984
                 154,            0.023386,           0.0089219,            0.018757,             0.85989,             0.96964,             0.93156,             0.74771,             0.01288,            0.003772,           0.0087014,            0.004951,            0.004951,            0.004951
